Package or Category,License Concluded,Project,Scope,Status,Comments,Date Published,Last updated: 2026-02-04
eclipse-ee4j/expressly,EPL-2.0 OR GPL-2.0-only WITH Classpath-exception-2.0,Keycloak,"required upstream dependency, dynamically linked, unmodified",approved,"Default implementation of Jakarta Expression Language 6.0, transitive dependency for Hibernate Validator",2026-02-05,
libpathrs,MPL-2.0 OR LGPL-3.0-or-later,All CNCF Projects,"vendored component, build-time dependency, or install-time dependency; statically or dynamically linked",approved,Blanket exception: Projects using libpathrs statically linked MUST elect MPL-2.0 and document this. Provides secure path resolution APIs.,2026-02-05,
go-pathrs,MPL-2.0,All CNCF Projects,"vendored component, build-time dependency, or install-time dependency; statically or dynamically linked",approved,Blanket exception: Go bindings for libpathrs. Provides secure path resolution APIs.,2026-02-05,
cyphar/filepath-securejoin,MPL-2.0 AND BSD-3-Clause,All CNCF Projects,"vendored component, build-time dependency, or install-time dependency; statically or dynamically linked",approved,"Blanket exception: Provides secure path resolution APIs on Linux. Used by Kubernetes, containerd, Podman, buildah, cri-o, nerdctl.",2025-11-21,
Liquibase,FSL (Functional Source License),Keycloak,"incorporated code, dynamically linked",denied,Denied: FSL is not an open source license. GB does not approve exceptions for non-OSS licenses.,2025-11-21,
paramiko,LGPL-2.1,oscal-compass,"build-time dependency, dynamically linked",approved,"Pure-Python SSHv2 protocol implementation, used for fetching files",2025-10-17,
certifi,MPL-2.0,oscal-compass,"install-time dependency, dynamically linked",approved,Dependency for requests library,2025-10-17,
pathspec,MPL-2.0,oscal-compass,"build-time dependency, separate process",approved,"Dependency for black, mkdocs, mypy",2025-10-17,
cyphar/filepath-securejoin,BSD-3-Clause AND MPL-2.0,Kubernetes,"vendored component, build-time dependency, statically linked",approved,Provides secure path construction functions. Superseded by blanket exception in issue #1154.,2025-10-17,
hashicorp/terraform-provider-aws,MPL-2.0,Crossplane,"build-time dependency, modified fork",approved,"Fork maintained for Crossplane providers, changes contributed upstream",2024-10-23,
hashicorp/terraform-provider-azurerm,MPL-2.0,Crossplane,"build-time dependency, modified fork",approved,"Fork maintained for Crossplane providers, changes contributed upstream",2024-10-23,
hashicorp/terraform-provider-azuread,MPL-2.0,Crossplane,"build-time dependency, modified fork",approved,"Fork maintained for Crossplane providers, changes contributed upstream",2024-10-23,
apple/swift-nio-ssl,OpenSSL,Connect,"build-time dependency, unmodified",approved,Required for HTTP/2 + TLS with HTTP trailers on iOS. Also used by gRPC Swift.,2024-10-23,
Crossplane Upjet MPL dependencies,MPL-2.0,Crossplane,"build-time dependency, unmodified, linked at build time",approved,"Various hashicorp terraform dependencies for Upjet: hcl, terraform-json, terraform-plugin-framework, terraform-plugin-go, terraform-plugin-sdk, go-plugin, go-uuid, go-version, logutils, terraform-plugin-log, terraform-registry-address, terraform-svchost, yamux",2024-10-23,
Linux kernel uapi headers (btrfs),GPL-2.0-only WITH Linux-syscall-note,containerd,"kernel headers included via #include, no inline functions compiled in",approved,Used by containerd/btrfs for btrfs-related ioctl syscalls. Headers from linux/btrfs.h and linux/btrfs_tree.h.,2024-10-23,
github.com/hashicorp/go-set/v2,MPL-2.0,OpenFGA,"build-time dependency, linked at build time",approved,Unmodified code,2024-10-22,
Keycloak Java dependencies,"0BSD, CDDL-1.1, EPL-1.0, EPL-2.0, GPL-2.0-only, GPL-2.0-with-classpath-exception, LGPL-2.1, LGPL-2.1-only, MIT-0, MPL-2.0, UPL-1.0",Keycloak,"transitive dependencies from Quarkus framework, unmodified",approved,"Multiple Java dependencies including: tslib, h2, mysql-connector-j, jakarta.* APIs, parsson, graalvm SDK, hibernate-*, mariadb-java-client, nashorn-core, reactive-streams",2024-10-22,
github.com/hashicorp/memberlist,MPL-2.0,kubernetes/kops,"build-time dependency, unmodified",approved,Main component of Gossip DNS feature for peer-to-peer network K8s API address propagation,2024-07-16,
Falco kernel module,GPL-2.0-only OR MIT,Falco,"kernel module, dual-licensed",approved,Falco's kernel module is dual-licensed GPL-2.0-only OR MIT,2024-02-27,
