Lifecycle,project_id,Maintainer Name,Company,GitHub Name,maintainers.yaml,Mailing List
Graduated,argoproj,Aditya Raj,Individual - No Account,adityaraj178,https://github.com/argoproj/.project/blob/main/maintainers.yaml,cncf-argo-maintainers@lists.cncf.io
,,Alan Clucas,Pipekit Inc,Joibel,,
,,Alex Collins,"Intuit, Inc.",alexec,,
,,Alex Eftimie,Individual - No Account,alexef,,
,,Alexander Matyushentsev,"Akuity, Inc.",alexmt,,
,,Alexandre Gaudreault,Intuit,agaudreault,,
,,Alexy Mantha,Individual - No Account,alexymantha,,
,,,,andrii-korotkov,,
,,ashutosh singh,"Intuit, Inc.",ashutosh16,,
,,Blake Pettersson,Individual - No Account,blakepettersson,,
,,Christian Hernandez,"Cisco Systems, Inc.",christianh814,,
,,Dan Garfield,Octopus Deploy PTY Ltd.,todaywasawesome,,
,,Derek Wang,"Intuit, Inc.",whynowy,,
,,,,edlee2121,,
,,Eduardo Rodrigues,Individual - No Account,eduardodbr,,
,,Eugene Dudin,Octopus Deploy,dudinea,,
,,Hariharasuthan Raajeshwar,Individual - No Account,Hariharasuthan99,,
,,Henrik Blixt,"Intuit, Inc.",hblixt,,
,,Hong Wang,"Akuity, Inc.",wanghong230,,
,,Ishita Sequeira,Red Hat LLC,ishitasequeira,,
,,Isitha Subasinghe,Pipekit Inc,isubasinghe,,
,,Jaewoo Choi,Individual - No Account,choejwoo,,
,,Jann Fischer,Red Hat LLC,jannfis,,
,,Jason Meridth,"Chainguard, Inc.",jmeridth,,
,,Jesse Suen,"Akuity, Inc.",jessesuen,,
,,Jonathan West,Individual - No Account,jgwest,,
,,Jonathan Winters,Individual - No Account,jwinters01,,
,,,,jswxstw,,
,,,,juliev0,,
,,Justin Marquis,"Akuity, Inc.",34fathombelow,,
,,Kanika Rana,Red Hat LLC,ranakan19,,
,,Keith Chong,Individual - No Account,keithchong,,
,,Kostis Kapelonis,Octopus Deploy,kostis-codefresh,,
,,Leonardo Luz Almeida,"Akuity, Inc.",leoluz,,
,,Linghao Su,"DaoCloud Network Technology Co., Ltd.",linghaoSu,,
,,Marco Maurer,Swiss Post,mkilchhofer,,
,,Marko Bevc,Kosli,mbevc1,,
,,Mason Malone,Adobe,MasonM,,
,,Michael Crenshaw,Intuit,crenshaw-dev,,
,,Nitish Kumar,"Akuity, Inc.",nitishfy,,
,,Oliver Gondža,Red Hat,olivergondza,,
,,Patroklos Papapetrou,Octopus Deploy,ppapapetrou76,,
,,Pavel Kostohrys,Individual - No Account,pasha-codefresh,,
,,,,pdrastil,,
,,Peter Jiang,Intuit,pjiang-dev,,
,,Regina Voloshin,Octopus Deploy PTY Ltd.,reggie-k,,
,,Rohit Agrawal,Databricks Inc.,agrawroh,,
,,Ryan Umstead,"BlackRock, Inc.",rumstead,,
,,Saravanan Balasubramanian,"Intuit, Inc.",sarabala1979,,
,,,,shuangkun,,
,,Soumya Ghosh Dastidar,"Akuity, Inc.",gdsoumya,,
,,,,tczhao,,
,,Tim Collins,Individual - No Account,tico24,,
,,Vlad Losev,Individual - No Account,vladlosev,,
,,William Hevelingen,"Acquia, Inc.",blkperl,,
,,William Tam,Red Hat LLC,wtam2018,,
,,Yuan (Terry) Tang,Red Hat LLC,terrytangyuan,,
,,Yuki Kitakata,Individual - No Account,yu-croco,,
,,Zach Aller,Intuit,zachaller,,
Graduated,buildpacks,Aidan Delaney,Bloomberg L.P.,aidandelaney,https://github.com/buildpacks/.project/blob/main/maintainers.yaml,cncf-buildpacks-maintainers@lists.cncf.io
,,Daniel Mikusa,Individual - No Account,dmikusa-pivotal,,
,,Jesse Brown,"Salesforce.com, Inc.",jabrown85,,
,,Joe Kutner,Salesforce,jkutner,,
,,Juan Jose Bustamante Torrealba,DBAccess,jjbustamante,,
,,Natalie Arellano,VMware LLC,natalieparellano,,
,,Sambhav Kothari,Bloomberg L.P.,sambhav,,
,,Terence Lee,"Heroku, Inc.",hone,,
Graduated,cert-manager,Adam Talbot,Venafi,ThatsMrTalbot,https://github.com/cert-manager/.project/blob/main/maintainers.yaml,cncf-cert-manager-maintainers@lists.cncf.io
,,Ashley Davis,Palo Alto Networks,SgtCoDFish,,
,,Erik Godding Boye,Zenior AS,erikgb,,
,,Hemant Joshi,Walmart Inc,hjoshi123,,
,,Jake Sanders,G-Research,jakexks,,
,,James Munnelly,Apple Inc.,munnerz,,
,,Josh van Leeuwen,Diagrid,joshvanl,,
,,Maël Valais,Palo Alto Networks,maelvls,,
,,Richard Wall,Jetstack Ltd,wallrj,,
,,Tim Ramlot,Palo Alto Networks,inteon,,
Graduated,cilium,Aditi Ghag,Individual - No Account,aditighag,https://github.com/cilium/.project/blob/main/maintainers.yaml,cncf-cilium-maintainers@lists.cncf.io
,,Alexandre Perrin,Individual - No Account,kaworu,,
,,André Martins,Isovalent Inc.,aanm,,
,,Arthur Outhenin-Chalandre,Ledger,MrFreezeex,,
,,Bill Mulligan,Isovalent Inc.,xmulligan,,
,,Casey Callendrello,Red Hat LLC,squeed,,
,,Chance Zibolski,"CoreOS, Inc.",chancez,,
,,Chris Tarazi,Individual - No Account,christarazi,,
,,Daniel Borkmann,Individual - No Account,borkmann,,
,,David Bimmler,Isovalent Inc.,bimmlerd,,
